time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-12-15T18:22:23.540Z,-17.679,-69.143,136.6,5.1,mwc,74,33.2,,0.95,us,usp000hqyu,2016-11-10T02:37:26.165Z,"78 km WNW of Curahuara de Carangas, Bolivia",earthquake,,5.2,,,reviewed,us,gcmt
2010-12-13T18:51:05.360Z,-33.989,-73.08,29.3,5.2,mwc,192,57.4,,0.95,us,usp000hqw6,2016-11-10T02:37:21.123Z,"143 km WSW of San Antonio, Chile",earthquake,,,,,reviewed,us,gcmt
2010-11-29T19:57:53.880Z,-24.012,-66.712,182.1,5.2,mwc,139,75.2,,0.84,us,usp000hqae,2016-11-10T02:36:48.588Z,"46 km WNW of San Antonio de los Cobres, Argentina",earthquake,,4.8,,,reviewed,us,gcmt
2010-11-28T08:19:45.000Z,-34.672,-72.043,41.9,5.3,mwb,228,42.3,,,us,usp000hq8g,2022-05-02T22:27:47.958Z,"62 km W of Santa Cruz, Chile",earthquake,,,,,reviewed,guc,us
2010-11-25T04:54:46.000Z,-25.06,-69.793,28.7,5,mb,115,80.9,,,us,usp000hq2x,2022-07-19T00:42:56.041Z,"79 km ENE of Taltal, Chile",earthquake,,,,30,reviewed,guc,us
2010-11-20T02:09:33.860Z,-37.958,-73.688,30.5,5.2,mb,94,96.6,,0.97,us,usp000hpvs,2022-07-19T00:21:53.363Z,"31 km SW of Cañete, Chile",earthquake,,15.3,,61,reviewed,us,us
2010-11-14T22:59:51.690Z,-22.722,-66.634,197.8,5.1,mwc,153,63,,0.88,us,usp000hpnd,2016-11-10T02:36:13.485Z,"96 km W of Abra Pampa, Argentina",earthquake,,4.4,,,reviewed,us,gcmt
2010-11-10T01:23:31.000Z,-36.438,-73.362,7,5,mwc,130,116.9,,,us,usp000hpbq,2022-05-02T22:25:11.481Z,"38 km NW of Talcahuano, Chile",earthquake,,,,,reviewed,guc,gcmt
2010-11-06T12:15:42.750Z,-18.882,-69.293,108.9,5,mwc,180,87.9,,0.91,us,usp000hp72,2016-11-10T02:35:45.971Z,"115 km ESE of Arica, Chile",earthquake,,,,,reviewed,us,gcmt
2010-10-31T07:10:40.570Z,-33.661,-71.86,29,5.3,mwc,163,113.4,,0.79,us,usp000hnu9,2022-07-18T23:13:34.609Z,"24 km WSW of San Antonio, Chile",earthquake,,,,,reviewed,us,gcmt
2010-10-29T14:11:51.000Z,-29.454,-71.736,42.4,5.2,mwc,100,83.4,,,us,usp000hnrk,2022-07-18T23:10:09.320Z,"67 km NW of Coquimbo, Chile",earthquake,,,,,reviewed,guc,gcmt
2010-10-23T10:56:59.480Z,-36.779,-73.41,28.9,5.1,mwc,114,114.8,,0.87,us,usp000hner,2022-07-18T22:50:44.268Z,"26 km WSW of Talcahuano, Chile",earthquake,,,,,reviewed,us,gcmt
2010-10-23T05:58:27.730Z,-37.743,-73.362,15,5.5,mwb,319,66,,0.86,us,usp000hnek,2022-08-09T03:19:26.348Z,"7 km NNE of Cañete, Chile",earthquake,,,,,reviewed,us,us
2010-10-23T01:38:14.000Z,-29.593,-71.112,44,5.6,mwc,271,71.2,,,us,usp000hnea,2022-07-18T22:48:56.761Z,"36 km NNE of La Serena, Chile",earthquake,,,,,reviewed,guc,gcmt
2010-10-22T19:31:37.560Z,-20.878,-68.372,132.2,5.8,mwb,335,47.2,,1.04,us,usp000hne0,2022-07-18T22:47:20.691Z,"163 km WSW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
2010-10-21T02:49:55.570Z,-34.737,-73.726,8,5.9,mwc,360,20.4,,0.94,us,usp000hnbu,2022-07-18T22:34:32.398Z,"136 km WNW of Constitución, Chile",earthquake,,,,,reviewed,us,gcmt
2010-10-04T16:43:17.430Z,-36.364,-73.293,37.1,5,mb,47,134.4,,0.74,us,usp000hmm0,2022-07-18T21:30:39.611Z,"41 km NW of Tomé, Chile",earthquake,,9.3,,14,reviewed,us,us
2010-09-30T00:26:10.000Z,-36.249,-74.256,20.2,5.8,mwb,268,44.2,,,us,usp000hmcc,2022-08-09T03:29:46.849Z,"114 km WNW of Talcahuano, Chile",earthquake,,,,,reviewed,guc,us
2010-09-29T16:29:49.000Z,-34.804,-71.795,51,5,mwc,70,76.5,,,us,usp000hmbm,2022-05-02T22:20:35.606Z,"43 km WSW of Santa Cruz, Chile",earthquake,,,,,reviewed,guc,gcmt
2010-09-28T01:48:15.000Z,-29.344,-71.175,64.7,5,mb,145,84.2,,,us,usp000hm9g,2022-07-18T20:49:54.296Z,"62 km N of La Serena, Chile",earthquake,,,,83,reviewed,guc,us
2010-09-27T09:25:06.550Z,-26.448,-64.63,21,5,mb,114,59.7,,0.87,us,usp000hm8g,2022-07-18T20:45:04.877Z,"12 km ENE of Burruyacú, Argentina",earthquake,,9.1,,68,reviewed,us,us
2010-09-26T10:16:15.200Z,-21.184,-68.178,93.6,5,mwc,252,52.1,,0.81,us,usp000hm74,2016-11-10T02:33:37.054Z,"160 km NNE of Calama, Chile",earthquake,,4.8,,,reviewed,us,gcmt
2010-09-26T05:29:51.070Z,-40.459,-72.765,60.5,5,mwc,150,57.8,,0.79,us,usp000hm6j,2022-07-18T20:37:26.658Z,"21 km SE of Río Bueno, Chile",earthquake,,,,,reviewed,us,gcmt
2010-09-23T16:36:18.330Z,-34.906,-71.621,49.4,5.4,mwc,198,58.4,,0.85,us,usp000hm3p,2022-07-18T20:31:09.626Z,"27 km W of Rauco, Chile",earthquake,,4.4,,,reviewed,us,gcmt
2010-09-20T05:42:56.690Z,-33.643,-71.928,30.4,5.1,mwc,201,92.5,,0.94,us,usp000hkz7,2022-07-18T20:24:49.771Z,"30 km W of San Antonio, Chile",earthquake,,,,,reviewed,us,gcmt
2010-09-20T03:25:29.000Z,-28.085,-66.515,188,5.1,mwc,166,40.8,,,us,usp000hkz2,2016-11-10T02:33:23.419Z,"44 km NW of Pomán, Argentina",earthquake,,,,,reviewed,sja,gcmt
2010-09-17T06:52:43.650Z,-37.506,-73.599,31.9,5.1,mwc,72,98.8,,0.88,us,usp000hkua,2022-05-02T22:19:40.701Z,"Near the coast of Bio-Bio, Chile",earthquake,,15,,,reviewed,us,gcmt
2010-09-17T03:25:32.380Z,-21.586,-67.02,201,5.4,mwb,317,70.3,,0.92,us,usp000hku7,2016-11-10T02:33:15.663Z,"109 km SW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
2010-09-14T03:37:05.000Z,-37.522,-74.392,13.3,5.1,mwc,60,85.8,,,us,usp000hkpm,2022-05-02T22:19:21.648Z,"65 km W of Lebu, Chile",earthquake,,,,,reviewed,guc,gcmt
2010-09-14T03:23:37.470Z,-37.221,-73.524,26.4,5.2,mwc,68,118.7,,1.37,us,usp000hkpj,2022-07-18T20:03:23.208Z,"18 km W of Arauco, Chile",earthquake,,28.7,,,reviewed,us,gcmt
2010-09-13T16:44:47.890Z,-31.846,-70.265,100.9,5.1,mwc,83,113.5,,1.06,us,usp000hkp2,2022-07-18T20:01:42.110Z,"66 km E of Salamanca, Chile",earthquake,,,,,reviewed,us,gcmt
2010-09-12T21:08:42.000Z,-29.43,-71.795,60,5.2,mwc,61,83.3,,,us,usp000hkmw,2022-07-18T20:00:04.329Z,"72 km NW of Coquimbo, Chile",earthquake,,,,,reviewed,guc,gcmt
2010-09-09T07:28:01.720Z,-37.034,-73.412,16,6.2,mwb,265,49.5,,1.15,us,usp000hkg9,2022-08-09T03:55:17.508Z,"23 km WNW of Lota, Chile",earthquake,,,,,reviewed,us,us
2010-09-06T03:20:46.000Z,-37.785,-73.423,39.3,5,mwc,73,65.9,,,us,usp000hkar,2022-08-08T23:17:40.752Z,"2 km NW of Cañete, Chile",earthquake,,,,,reviewed,guc,gcmt
2010-09-05T16:06:39.110Z,-18.935,-67.382,207.9,5.2,mwc,176,63.1,,0.97,us,usp000hk9z,2016-11-10T02:32:40.212Z,"64 km W of Challapata, Bolivia",earthquake,,,,,reviewed,us,gcmt
2010-08-25T13:14:37.640Z,-35.089,-72.246,31.7,5,mb,25,116.4,,0.94,us,usp000hjrm,2014-11-07T01:42:17.864Z,"31 km NNE of Constitución, Chile",earthquake,,,,2,reviewed,us,us
2010-08-25T12:02:37.000Z,-22.704,-69.184,76.9,5.1,mb,171,96.1,,,us,usp000hjrk,2022-07-18T19:06:07.947Z,"38 km SW of Calama, Chile",earthquake,,,,26,reviewed,guc,us
2010-08-25T02:35:02.000Z,-21.172,-68.912,122.5,5.1,mwc,171,85.5,,,us,usp000hjqt,2022-07-18T19:04:30.284Z,"142 km N of Calama, Chile",earthquake,,,,,reviewed,guc,gcmt
2010-08-22T08:06:32.600Z,-21.135,-67.269,152.5,5.1,mb,160,48.7,,1.03,us,usp000hjky,2014-11-07T01:42:17.126Z,"87 km SSW of Uyuni, Bolivia",earthquake,,5.5,,31,reviewed,us,us
2010-08-22T03:49:58.000Z,-36.532,-73.718,19.1,5,mb,150,69.6,,,us,usp000hjkp,2022-07-18T18:56:18.120Z,"57 km WNW of Talcahuano, Chile",earthquake,,,,78,reviewed,guc,us
2010-08-21T14:54:57.190Z,-27.544,-67.345,142.1,5.1,mb,42,56,,1.12,us,usp000hjjt,2014-11-07T01:42:16.840Z,"28 km NW of Londres, Argentina",earthquake,,,,9,reviewed,us,us
2010-08-15T07:50:36.090Z,-36.814,-71.101,8.9,5.2,mwc,187,73.5,,0.89,us,usp000hj7w,2022-07-18T18:35:47.176Z,"36 km WNW of Las Ovejas, Argentina",earthquake,,11.6,,,reviewed,us,gcmt
2010-08-09T12:13:43.000Z,-38.717,-73.149,38.7,5,mb,124,63.2,,,us,usp000hhtg,2022-08-08T23:18:42.125Z,"1 km ESE of Carahue, Chile",earthquake,,,,73,reviewed,guc,us
2010-08-06T21:05:28.270Z,-38.255,-73.501,23,5,mb,76,64.5,,1,us,usp000hhpa,2022-07-18T18:05:52.822Z,"51 km S of Cañete, Chile",earthquake,,16.7,,28,reviewed,us,us
2010-08-05T20:35:51.110Z,-19.958,-70.357,42.7,5.2,mwc,188,96.7,,0.93,us,usp000hhmb,2022-07-18T17:56:27.707Z,"35 km NW of Iquique, Chile",earthquake,,,,,reviewed,us,gcmt
2010-08-05T06:27:16.130Z,-37.432,-73.323,23.7,5.4,mwc,168,42.2,,0.94,us,usp000hhk0,2022-07-18T17:50:22.495Z,"5 km NNE of Curanilahue, Chile",earthquake,,,,,reviewed,us,gcmt
2010-08-05T06:01:47.440Z,-37.443,-73.281,18,5.9,mwc,231,35,,0.9,us,usp000hhjy,2022-08-09T03:35:58.879Z,"6 km NE of Curanilahue, Chile",earthquake,,,,,reviewed,us,gcmt
