Site,Coordinates,Velocity,Uncertainty
RG01,"[34.667072418745406, -108.0438129456121, 2157.544590326907]",-0.0016942737758843484,2.171954548619099e-05
SC01,"[34.0679525903593, -106.96654343614426, 2097.3797761579463]",0.0004361605507350193,1.0322242636281081e-05
AZCN,"[36.839792950604185, -107.910962404209, 1862.9388360243308]",-0.0008614640076356199,2.843238017220529e-05
P034,"[34.94561936925882, -106.459267663182, 1810.9129044603574]",-0.00035380173036662384,1.1120369317395176e-05
P028,"[36.03168469970933, -107.90840970082284, 1933.112590595545]",-0.0006501880235938341,9.710066607636926e-06
P029,"[38.439190420106776, -107.63804444204796, 2455.3749197131147]",0.0020591502640339467,1.4013401550547141e-05
NMLG,"[35.03995261508493, -107.37233835135558, 1763.2254175554976]",-0.00045426062423334964,2.1699568088089716e-05
CTI4,"[37.15291819162043, -107.75609089748136, 2017.9645522683622]",-0.002306243070006815,4.2287455172157354e-05
MC10,"[38.455598434474396, -107.87845670801819, 1808.5898754969496]",-0.0011656178735687931,3.2103526917312206e-05
TC01,"[37.93803350458362, -107.81333275154333, 2677.5372235304053]",-0.0005012674563343497,0.0001462296397842481
